aba	546,阿巴 1050,阿爸 1050,阿爸 2786,阿坝
abafu	1050,阿爸父
abagaqi	2852,阿巴嘎旗
abalaqiya	1819,阿巴拉契亚
abasi	546,阿巴斯
abasiwangchao	1502,阿拔斯王朝
abaxian	2786,阿坝县
abazhou	2786,阿坝州
abeier	1133,阿贝尔
abi	471,阿比 1335,阿鼻
abian	1737,阿扁
abidiyu	1597,阿鼻地狱
abingge	804,阿兵哥
abirang	471,阿比让
abixiniya	654,阿比西尼亚
abiya	1256,阿彼雅
aboding	1168,阿伯丁
aboluo	664,阿波罗
aboluojihua	664,阿波罗计划
abudabi	471,阿布达比
abudula	1979,阿卜杜拉
abuhazi	1781,阿布哈兹
abujia	2051,阿布贾
abushayefu	1174,阿布沙耶夫
abushuchun	2560,阿布叔醇
abuzhabi	1411,阿布扎比
achang	1606,阿昌
acheng	471,阿城
achengqu	471,阿城区
achufo	771,阿初佛 48310,阿閦佛
acihaimozheng	1936,阿茨海默症
adabier	471,阿达比尔
adan	1280,阿丹
adela	471,阿得拉
adelaer	471,阿得拉尔
adelaide	1196,阿得莱德 1196,阿德莱德
adeleide	686,阿德雷德
adi	816,阿弟
adidasi	1440,阿迪达斯
adie	2004,阿爹
ading	6243,吖啶
adingding	6243,吖丁啶
adiping	471,阿的平
adisenshibing	2219,阿狄森氏病
adou	580,阿斗
aduonisi	654,阿多尼斯
aduonuo	969,阿多诺
aerbaniya	654,阿尔巴尼亚
aerbeisi	2059,阿尔卑斯
aerbota	1030,阿尔伯塔
aerbote	821,阿尔伯特
aercihaimo	1936,阿尔茨海默
aerdousai	1080,阿尔都塞
aerfa	471,阿尔法
aerfalizi	1714,阿尔法粒子
aergaida	1052,阿尔盖达
aergesi	1695,阿耳戈斯
aergunqin	4843,阿尔衮琴
aerjiawei	520,阿尔加维
aerjier	471,阿尔及尔
aerjiliya	471,阿尔及利亚
aerkantala	2446,阿尔坎塔拉
aerkate	717,阿尔卡特
aermeiliya	1159,阿尔梅里亚
aersasi	1046,阿尔萨斯
aershan	471,阿尔山
aershanshi	471,阿尔山市
aertai	1318,阿尔泰
aertaishan	1318,阿尔泰山
aertaishanmai	1594,阿尔泰山脉
aertaixueji	1391,阿尔泰雪鸡
aertaiyu	1318,阿尔泰语
aertaiziwan	5320,阿尔泰紫菀
aertemisi	3144,阿耳忒弥斯
aerwasete	1195,阿尔瓦塞特
afaer	471,阿法尔
afaershamo	1777,阿法尔沙漠
afaluomiou	823,阿法罗密欧
afanda	1013,阿凡达 3276,阿梵达
afanti	1013,阿凡提
afei	471,阿飞
afeilijia	471,阿非利加
afeilijiazhou	701,阿非利加洲
afuhan	1490,阿富汗
afuhanyu	1490,阿富汗语
afujiadeluo	2532,阿伏伽德罗
afuleerhao	2627,阿芙乐尔号
afuluodite	3144,阿佛洛狄忒 3144,阿弗洛狄忒 3144,阿芙罗狄忒
afurong	2779,阿芙蓉
agaida	1052,阿盖达
aganzhengzhuan	1408,阿甘正传
age	804,阿哥
agenidi	1440,阿格尼迪
agenting	1626,阿根廷
agong	471,阿公
agu	471,阿家
ahedisali	1429,阿赫蒂萨里
aheng	2146,阿亨
aheqi	563,阿合奇
aheqixian	877,阿合奇县
ahong	5477,阿訇
ahuatian	778,阿华田
ahun	1137,阿混
aiai	394,爱爱 2091,唉唉 3460,蔼蔼 3952,皑皑 4316,霭霭 7916,硙硙 31446,叆叆
aiaohua	972,爱奥华
aiaohuazhou	972,爱奥华州
aiaoluosi	1121,埃奥罗斯
aiaoniyahai	972,爱奥尼亚海
aiaowa	1291,艾奥瓦
aiaowazhou	1291,艾奥瓦州
aibanjie	2027,矮半截
aibanzi	2012,挨板子
aibian	1799,癌变 2012,挨边
aibianer	2012,挨边儿
aibieliku	634,爱别离苦
aibihu	1291,艾比湖
aibingbisheng	1751,哀兵必胜
aibiying	1256,爱彼迎
aibola	1121,埃博拉
aibolabingdu	1121,埃博拉病毒
aibota	1291,艾伯塔
aibuluo	1121,埃布罗
aibuluohe	1121,埃布罗河
aiburenshi	1127,爱不忍释
aibushang	2012,挨不上
aibushishou	813,爱不释手
aica	2012,挨擦
aicai	394,爱才 680,爱财
aicairuming	680,爱财如命
aicao	1291,艾草
aicheng	449,爱称
aichou	2113,哀愁
aichouqiong	2027,矮丑穷
aici	1751,哀词 1751,哀辞 2012,挨次
aiciba	1838,爱词霸
aicier	5364,挨呲儿
aicuo	5541,矮矬
aida	2012,挨打
aidahe	1427,爱达荷
aidahezhou	1427,爱达荷州
aidai	1228,爱戴 31447,叆叇
aidaibing	2027,矮呆病
aidao	2963,哀悼
aidashouma	2012,挨打受骂
aidashouqi	2012,挨打受气
aide	394,爱德 1121,埃德
aidehua	412,爱德华
aidehuadao	798,爱德华岛
aidehuazi	1781,爱德华兹
aidejia	1121,埃德加
aideleide	3329,艾德蕾德
aideling	1855,爱德玲
aidemengdun	1121,埃德蒙顿 1291,艾德蒙顿
aideng	2680,矮凳
aidengbao	1521,艾登堡
aidesiwoer	1808,爱德斯沃尔
aidi	1440,艾迪 4316,霭滴
aidicha	2027,矮地茶
aidikala	1440,埃迪卡拉 1440,艾迪卡拉
aidikalaji	1440,埃迪卡拉纪
aidimeidunshu	1751,哀的美敦书
aidingbao	1521,爱丁堡
aidinghu	1291,艾丁湖
aidisheng	1440,爱迪生 1440,艾迪生
aidonghua	1384,艾冬花
aidou	1793,爱豆 2012,挨斗
aidundun	3553,矮墩墩
aie	2012,挨饿
aierbota	1291,艾尔伯塔
aierbushang	1751,哀而不伤
